Cantons,Canton,Year,Nb_Centres,y11,y12,y13,y14,y15,y16,y17,y18,y19,CN,CN15,Difference_CN,AO_CN11,AO_CN15,Difference_AO_CN,Difference_AO15_CN15,Difference_PE15_CN15,Month,Nb_Centres_m,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,key
JURA ,10.JU,2015,5,,,,,,,,,,,,,,,,,,2020,2,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,2015,6,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,2015,7,,,,,,,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,2015,21,,,,,,,,,,,,,,,,,,2020,3,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,2015,16,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,
TICINO,11.TI,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZERN,06.LU,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUG,07.ZG,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAUBUNDEN,19.GR,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL AUSSERHODEN,03.AR,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL INNERHODEN,04.AI,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT GALLEN ,16.SG,,,,,,,,,,,,,,,,,,,,2021,-1,,,,,,,,,,,,,,,,,,,,,,,,,
THURGAU,23.TG,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
GLARUS,13.GL,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAFFHAUSEN,12.SH,,,,,,,,,,,,,,,,,,,,2021,-2,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-LANDSCHAFT ,20.BL,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-STADT,14.BS,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,
AARGAU,24.AG,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOTHURN ,05.SO,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
ZURICH ,26.ZH,,,,,,,,,,,,,,,,,,,,2021,0,,,,,,,,,,,,,,,,,,,,,,,,,
WALLIS ,18.VS,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
BERN ,25.BE,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
JURA ,10.JU,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
TICINO,11.TI,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZERN,06.LU,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUG,07.ZG,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAUBUNDEN,19.GR,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL AUSSERHODEN,03.AR,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL INNERHODEN,04.AI,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT GALLEN ,16.SG,,,,,,,,,,,,,,,,,,,,2022,0,,,,,,,,,,,,,,,,,,,,,,,,,
THURGAU,23.TG,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
GLARUS,13.GL,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAFFHAUSEN,12.SH,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-LANDSCHAFT ,20.BL,,,,,,,,,,,,,,,,,,,,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-STADT,14.BS,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
AARGAU,24.AG,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOTHURN ,05.SO,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,
ZURICH ,26.ZH,,,,,,,,,,,,,,,,,,,,2022,8,,,,,,,,,,,,,,,,,,,,,,,,,
WALLIS ,18.VS,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
BERN ,25.BE,,,,,,,,,,,,,,,,,,,,2022,4,,,,,,,,,,,,,,,,,,,,,,,,,
JURA ,10.JU,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,,,,,,,,,,,,,,,,,,,,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,
TICINO,11.TI,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZERN,06.LU,,,,,,,,,,,,,,,,,,,,2023,2,,,,,,,,,,,,,,,,,,,,,,,,,
ZUG,07.ZG,,,,,,,,,,,,,,,,,,,,2023,-1,,,,,,,,,,,,,,,,,,,,,,,,,
GRAUBUNDEN,19.GR,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL AUSSERHODEN,03.AR,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL INNERHODEN,04.AI,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT GALLEN ,16.SG,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,
THURGAU,23.TG,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
GLARUS,13.GL,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAFFHAUSEN,12.SH,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-LANDSCHAFT ,20.BL,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-STADT,14.BS,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
AARGAU,24.AG,,,,,,,,,,,,,,,,,,,,2023,2,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOTHURN ,05.SO,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,
ZURICH ,26.ZH,,,,,,,,,,,,,,,,,,,,2023,0,,,,,,,,,,,,,,,,,,,,,,,,,
WALLIS ,18.VS,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
BERN ,25.BE,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
JURA ,10.JU,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,,,,,,,,,,,,,,,,,,,,2023,2,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,
TICINO,11.TI,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,,,,,,,,,,,,,,,,,,,,2024,1,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZERN,06.LU,,,,,,,,,,,,,,,,,,,,2024,0,,,,,,,,,,,,,,,,,,,,,,,,,
ZUG,07.ZG,,,,,,,,,,,,,,,,,,,,2024,1,,,,,,,,,,,,,,,,,,,,,,,,,
GRAUBUNDEN,19.GR,,,,,,,,,,,,,,,,,,,,2024,-1,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL AUSSERHODEN,03.AR,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL INNERHODEN,04.AI,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT GALLEN ,16.SG,,,,,,,,,,,,,,,,,,,,2024,-2,,,,,,,,,,,,,,,,,,,,,,,,,
THURGAU,23.TG,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
GLARUS,13.GL,,,,,,,,,,,,,,,,,,,,2024,1,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAFFHAUSEN,12.SH,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-LANDSCHAFT ,20.BL,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-STADT,14.BS,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
AARGAU,24.AG,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOTHURN ,05.SO,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
ZURICH ,26.ZH,,,,,,,,,,,,,,,,,,,,2024,-1,,,,,,,,,,,,,,,,,,,,,,,,,
WALLIS ,18.VS,,,,,,,,,,,,,,,,,,,,2024,-1,,,,,,,,,,,,,,,,,,,,,,,,,
BERN ,25.BE,,,,,,,,,,,,,,,,,,,,2024,1,,,,,,,,,,,,,,,,,,,,,,,,,
JURA ,10.JU,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,,,,,,,,,,,,,,,,,,,,2024,-1,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,,,,,,,,,,,,,,,,,,,,2024,-3,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,,,,,,,,,,,,,,,,,,,,2024,3,,,,,,,,,,,,,,,,,,,,,,,,,
TICINO,11.TI,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZERN,06.LU,,,,,,,,,,,,,,,,,,,,2025,0,,,,,,,,,,,,,,,,,,,,,,,,,
ZUG,07.ZG,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAUBUNDEN,19.GR,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL AUSSERHODEN,03.AR,,,,,,,,,,,,,,,,,,,,2025,2,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL INNERHODEN,04.AI,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT GALLEN ,16.SG,,,,,,,,,,,,,,,,,,,,2025,-1,,,,,,,,,,,,,,,,,,,,,,,,,
THURGAU,23.TG,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
GLARUS,13.GL,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAFFHAUSEN,12.SH,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-LANDSCHAFT ,20.BL,,,,,,,,,,,,,,,,,,,,2025,1,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-STADT,14.BS,,,,,,,,,,,,,,,,,,,,2025,-1,,,,,,,,,,,,,,,,,,,,,,,,,
AARGAU,24.AG,,,,,,,,,,,,,,,,,,,,2025,-1,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOTHURN ,05.SO,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
ZURICH ,26.ZH,,,,,,,,,,,,,,,,,,,,2025,0,,,,,,,,,,,,,,,,,,,,,,,,,
WALLIS ,18.VS,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
BERN ,25.BE,,,,,,,,,,,,,,,,,,,,2025,1,,,,,,,,,,,,,,,,,,,,,,,,,
JURA ,10.JU,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,,,,,,,,,,,,,,,,,,,,2025,-1,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,,,,,,,,,,,,,,,,,,,,2025,1,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,
TICINO,11.TI,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,,,,,,,,,,,,,,,,,,,,2026,-1,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZERN,06.LU,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUG,07.ZG,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAUBUNDEN,19.GR,,,,,,,,,,,,,,,,,,,,2026,1,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL AUSSERHODEN,03.AR,,,,,,,,,,,,,,,,,,,,2026,1,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL INNERHODEN,04.AI,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT GALLEN ,16.SG,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
THURGAU,23.TG,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
GLARUS,13.GL,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAFFHAUSEN,12.SH,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-LANDSCHAFT ,20.BL,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-STADT,14.BS,,,,,,,,,,,,,,,,,,,,2026,-1,,,,,,,,,,,,,,,,,,,,,,,,,
AARGAU,24.AG,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOTHURN ,05.SO,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
ZURICH ,26.ZH,,,,,,,,,,,,,,,,,,,,2026,0,,,,,,,,,,,,,,,,,,,,,,,,,
WALLIS ,18.VS,,,,,,,,,,,,,,,,,,,,2026,1,,,,,,,,,,,,,,,,,,,,,,,,,
BERN ,25.BE,,,,,,,,,,,,,,,,,,,,2026,-2,,,,,,,,,,,,,,,,,,,,,,,,,
JURA ,10.JU,,,,,,,,,,,,,,,,,,,,2026,-1,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,,,,,,,,,,,,,,,,,,,,2026,-1,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
